"X" 	"Y"
0 	12000
10156.4415388781 	11990
19493.402062322599 	11970
39197.505251181901 	11952
59604.753859271397 	11810.5
78818.690190878595 	11539.4
101040.243000787 	11144.4
127531.64968233601 	10762.9
163486.97045064199 	10274.6
209579.26580346801 	9583.2000000000007
252491.74919076101 	8938.3999999999996
304190.79466187902 	8145.6000000000004
378031.58735091903 	6923.6000000000004
462560.49526342598 	5683.5
523722.36888247402 	4720
592971.34640014102 	4012
681879.86291099596 	2966.5999999999999
887798.90848591703 	1660.2
1268734.60796958 	798.89999999999998
1990106.89552196 	301.30000000000001
