"X" 	"Y"
0 	18000
10000 	17886.5
14514.3553917749 	17679.700000000001
24225.327833081101 	17273.200000000001
31055.235821611201 	16876.099999999999
40433.522039347699 	16488.099999999999
50248.557112693401 	15922.799999999999
60537.219801090898 	15376.9
69614.006460145698 	15023.299999999999
83867.849197362098 	14508.200000000001
101040.243000787 	14010.799999999999
137824.31500792899 	12472.6
160968.750545972 	11632
179445.50511360401 	10975
196961.808128912 	10117
264528.15940793802 	8017.5
333883.921443692 	6065
469796.86283374898 	3593.8000000000002
640828.13827388606 	2009.2
901687.77123170102 	1000
1288582.8874194501 	403.69999999999999
1841486.4997914699 	159.19999999999999
