"X" 	"Y"
0 	10000
19696.865967020301 	10125
39606.632270022397 	10156
50771.7057393879 	10038.76
59294.556342782802 	9808.2999999999993
69246.298435005097 	9472.6000000000004
80866.188155228505 	9042.7999999999993
90138.984638035705 	8632.3999999999996
106903.186961352 	7958.6000000000004
122912.719429916 	7423.1000000000004
141316.10936387099 	6843.6999999999998
157508.273391925 	6309.5
172847.127291043 	5745
214692.84988480201 	4558.5
258517.44193689601 	3614
311222.85026271897 	2611
368950.56566554302 	2000
417549.67350062 	1641
487464.05039051501 	1362.8
560319.14805302396 	1131.8
674712.97727402695 	907.70000000000005
825193.05850515002 	736.60000000000002
993740.88110634498 	611.70000000000005
