"X" 	"Y"
0 	15000
10000 	14952
19768.0634135615 	14849.6
29115.587682817499 	14678
39687.588266304498 	14508.200000000001
50067.000014591802 	14340.5
60293.300524678503 	14010.799999999999
69311.799591213799 	13688.700000000001
78454.676157962705 	13530.4
88803.583911433205 	13219.4
98972.763121523603 	12766.1
115552.74560871501 	12328.4
134910.217686027 	11632
155089.701338104 	10975
178287.57431197501 	10235.299999999999
218054.484317694 	9111.6000000000004
254583.115197704 	8111.3000000000002
311367.68849234801 	6503.1999999999998
398930.15064413799 	5035.1999999999998
552271.28935787198 	3053.8000000000002
788607.65155149705 	1519.9000000000001
1074954.6297807901 	801.70000000000005
1442755.78746734 	403.69999999999999
1997323.58581212 	157.30000000000001
