"X" 	"Y"
0 	750
98459.681589469503 	756.39999999999998
194934.02062322601 	765.29999999999995
296421.78101870802 	774.20000000000005
391975.05251181999 	783.29999999999995
596047.538592714 	792.39999999999998
800517.41909460397 	801.70000000000005
994839.01535801101 	811.10000000000002
1255672.56203026 	830.20000000000005
1634869.7045064201 	869.70000000000005
2031726.14146151 	900.60000000000002
2486025.7229290502 	911.10000000000002
2995052.8784856298 	921.79999999999995
3664754.9812456002 	921.79999999999995
3960525.4556040498 	911.10000000000002
4347126.1895498903 	879.89999999999998
4846109.8954332098 	830.20000000000005
5402369.31126385 	747.70000000000005
6212385.9234057097 	635.29999999999995
7484405.3987654103 	448.19999999999999
9446716.8629879504 	242
10863131.98538 	145
12687346.0796958 	90
15767135.8303563 	50.299999999999997
19594529.12621 	29.5
26316293.363986 	14.6
