"X" 	"Y"
0 	4000
10000 	4002
20076.619260072599 	4007
40307.0640913916 	4015
70393.673953342703 	4025
91597.455198496304 	4052
110306.44720013499 	4084.1999999999998
132836.79407412 	4132
159969.01638827001 	4229.1999999999998
189682.343140129 	4328.6999999999998
221458.05423683999 	4430.6000000000004
262592.61689114198 	4534.8000000000002
297231.04638994299 	4587.8999999999996
357941.17482634098 	4587.8999999999996
444612.90369895397 	4482.3999999999996
543783.47908542899 	4328.6999999999998
654852.51193995005 	4084.1999999999998
741233.70131035801 	3809
865405.65932219697 	3511.0999999999999
964505.99797351705 	3199.1999999999998
1091733.3869515799 	2848
1274621.28323183 	2310.0999999999999
1488146.68039424 	1852.0999999999999
2124977.12882081 	1000
3034329.7858348801 	503.5
4400456.7598569402 	281.5
