"X" 	"Y"
0 	2300
98463.108541761903 	2430
118574.426112455 	2442.5999999999999
145022.36310632899 	2471.3000000000002
171959.43478804899 	2559
200766.192600726 	2589
238057.36070413599 	2681
295700.47212625301 	2712.5999999999999
396875.88266304502 	2744.4000000000001
485398.75123763498 	2744.4000000000001
584542.56844118598 	2681.1999999999998
682465.52463745303 	2529.5
784546.76157962705 	2414.3000000000002
888035.83911433304 	2304.4000000000001
1005176.09678701 	2124
1103064.47200135 	1980.5999999999999
1210485.6385671 	1783.4000000000001
1307952.36732598 	1606
1650018.4076338401 	1007.8
1987038.4823081801 	702.29999999999995
2392895.6864399998 	501
2972310.4638994299 	329.39999999999998
3867621.3253694102 	199.59999999999999
5522712.8935787203 	101.5
7298417.43869338 	60.100000000000001
8926323.9856792092 	40
12550317.3760495 	20
